exercise_name,equipment,mechanics,force,desc,execution,muscle_group,level
Shoulder Press,Cable,Compound,Push,Stand between two low to medium height pulleys. Grasp cable stirrups from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,Shoulders,3
Shoulder Press:  Seated,Cable,Compound,Push,Sit on seat and grasp stirrups from low to medium low position from each side. Position stirrups to each side of shoulders with elbows down to sides and stirrups above or slightly narrower than elbows.,Push stirrups upward until arms are extended overhead. Return stirrups to sides of shoulders and repeat.,Shoulders,3
Arnold Press,Dumbbell,Compound,Push,"Stand with two dumbbells position in front of shoulders, palms facing body and elbows under wrists.",Initiate movement by bringing elbows out to sides. Continue to raise elbows outward while pressing dumbbells overhead until arms are straight. Lower to front of shoulders in opposite pattern and repeat.,Shoulders,4
Front Raise,Dumbbell,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.,Shoulders,2
Front Raise:  Alternating,Dumbbell,Isolated,Push,Grasp dumbbells in both hands. Position dumbbells in front of upper legs with elbows straight or slightly bent.,"Raise one dumbbell forward and upward with palms positioned downward until upper arm is above horizontal. Lower and repeat with opposite arm, alternating between arms.",Shoulders,2
Shoulder Press,Dumbbell,Compound,Push,Position dumbbells to each side of shoulders with elbows below wrists.,Press dumbbells upward until arms are extended overhead. Lower to sides of shoulders and repeat.,Shoulders,3
Shoulder Press:  One Arm,Dumbbell,Compound,Push,Stand with dumbbells positioned near shoulder with elbow below wrists.,Press dumbbell upward until arm is extended overhead. Lower to side of shoulder and repeat.,Shoulders,3
Military Press,Lever (plate loaded),Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever until arms are extended upward. Lower and repeat.,Shoulders,4
Reclined Shoulder Press,Lever (plate loaded),Compound,Push,Lie on back pad facing up. Grasp lever handles on each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,Shoulders,3
Shoulder Press,Lever (plate loaded),Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,Shoulders,3
Reclined Shoulder Press,Lever (selectorized)​​​​​​​,Compound,Push,Lie on back pad facing up. Grasp lever handles to each side with overhand grip.,Press lever until arms are extended. Lower and repeat.,Shoulders,3
Shoulder Press,Lever (selectorized)​​​​​​​,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press lever upward until arms are extended overhead. Lower and repeat.,Shoulders,3
Shoulder Press:  Parallel Grip,Lever (selectorized)​​​​​​​,Compound,Push,Sit on seat and grasp parallel bar grips in front of shoulders on each side.,Press lever upward until arms are extended overhead. Lower and repeat.,Shoulders,3
Shoulder Press,Sled,Compound,Push,Set and grasp lever handles to each side with overhand grip.,Press handles upward until arms are extended overhead. Lower and repeat.,Shoulders,3
Shoulder Press,Smith​​​​​​​,Compound,Push,Sit on bench with bar positioned in front of shoulders. Grasp bar with wide overhand grip. Disengage bar by rotating bar back.,Press bar upward until arms are extended overhead. Lower bar to front of shoulders and repeat.,Shoulders,3
Pike Press (between benches),Body Weight,Compound,Push,"Kneel on two benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches. With forefeet on opposite ends of bench, raise rear end high up with arms, back, and knees straight. Adjust feet so they are somewhat close to hands while keeping back and legs straight.",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,Shoulders,4
Pike Press (between benches):  Elevated (between benches),Body Weight,Compound,Push,"Stand between two incline benches positioned side by side slightly apart at end nearest head. Place hands on ends of benches and straighten arms. Position forefeet on opposite ends of bench. Raise rear end high up with arms, back, and knees straight.",Lower head between ends of benches by bending arms. Push body back up to original position by extending arms. Repeat.,Shoulders,5
Front Raise,Suspended,Isolated,Push,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight and palms facing downward.",Raise arms upward overhead by flexing shoulders with arms straight. Return and lower body back until arms are extended straight forward in original position. Repeat.,Shoulders,2
Upright Row,Barbell,Compound,Pull,Grasp bar with shoulder width or slightly narrower overhand grip.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Shoulders,3
Lateral Raise,Cable,Isolated,Pull,"With low pulleys to each side, grasp left stirrup with right hand and right stirrup with left hand. Stand upright.","With elbows slightly bent, raise arms to sides   until elbows are shoulder height. Lower and repeat.",Shoulders,2
Lateral Raise:  One Arm,Cable,Isolated,Pull,Grasp stirrup cable attachment. Stand facing with side of resting arm toward low pulley. Grasp ballet bar if available.,"With elbow slightly bent, raise arm to side away from low pulley until elbow is shoulder height. Lower and repeat.",Shoulders,2
Upright Row,Cable,Compound,Pull,Grasp cable bar with shoulder width or slightly narrower overhand grip. Stand close to pulley.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Shoulders,3
Upright Row:  One Arm,Cable,Compound,Pull,"Grasp stirrup on low pulley with overhand grip. Stand with side of arm with stirup away from pulley machine, arm against front of body. Place other hand on ballet bar or side of pulley column for support.",Pull stirup to front side of shoulder with elbow leading. Allow wrist to flex as stirrup is lifted. Lower and repeat.,Shoulders,3
Upright Row:  with rope,Cable,Compound,Pull,"Grasp each side of rope with overhand grip, just under rope ends. Stand close to pulley.",Pull rope ends to front of shoulders with elbows leading. Allow wrists to flex as stirrups are lifted. Lower and repeat.,Shoulders,3
Y Raise,Cable,Isolated,Pull,"Stand facing between low pulleys medium width apart, grasp left stirrup with right hand and right stirrup with left hand. Step back slightly away from pulleys and stand upright with cables crossed in front of hips.","With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.",Shoulders,3
Incline Lateral Raise,Dumbbell,Isolated,Pull,"Grasp dumbbell in one hand. Lie on 30° to 45° incline bench with opposite side of body on incline, arm over top of bench, lower leg positioned on front side of seat, and upper leg on back side of seat. Position dumbbell inside of lower leg, just in front of upper leg.","With elbows slightly bent, raise arms upward and outward to sides in Y configuration until elbows are approximately lateral to each ear. Lower stirrups forward and downward in reverse pattern. Repeat.",Shoulders,3
Lateral Raise,Dumbbell,Isolated,Pull,Grasp dumbbells in front of thighs with elbows slightly bent. Bend over slightly with hips and knees bent slightly.,Raise upper arms to sides until slightly bent elbows are shoulder height while maintaining elbows' height above or equal to wrists. Lower and repeat.,Shoulders,2
Upright Row,Dumbbell,Compound,Pull,Grasp dumbbells and stand with palms facing front of thighs.,Pull dumbbells to front of shoulder with elbows leading out to sides. Allow wrists to flex as dumbbells rise upward. Lower and repeat.,Shoulders,3
Upright Row:  One Arm,Dumbbell,Compound,Pull,Grasp dumbbells with palms facing front of thighs. Position other hand for support.,Pull dumbbell to front of shoulder with elbow leading. Allow wrist to flex as dumbbell rises upward. Lower and repeat. Continue with opposite arm.,Shoulders,3
Lateral Raise,Lever (plate loaded),Isolated,Pull,Sit in machine. Situate bent arms between padded lever and sides of body.,Raise arms to sides until upper arms are horizontal. Return and repeat.,Shoulders,2
Lateral Raise,Lever (selectorized),Isolated,Pull,Sit in machine. Situate bent arms between padded lever and sides of body. Grasp handles if available.,Raise arms to sides until upper arms are horizontal. Return and repeat.,Shoulders,2
Lateral Raise:  other machine,Lever (selectorized),Isolated,Pull,Sit in machine. Situate bent arms between padded lever and sides of body. Grasp handles if available.,Raise arms to sides until upper arms are horizontal. Return and repeat.,Shoulders,2
Upright Row​​​​​​​,Smith,Compound,Pull,Stand behind bar mid-thigh height. Grasp bar with shoulder width or slightly narrower overhand grip. Disengage bar by rotating bar back and stand upright.,Pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.,Shoulders,3
Y Raise,Suspended,Isolated,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle hanging from handles with arms straight and palms angled inward.",Raise arms upward and outward in shape of a Y while keeping arms straight. Return and lower body back in opposite motion until arms are extended straight forward in original position. Repeat.,Shoulders,3
Rear Delt Row,Barbell,Compound,Pull,"Bend knees slightly and bend over bar with back straight, approximately horizontal. Grasp bar with wide overhand grip.","Keeping upper arm perpendicular to torso, pull barbell up toward upper chest until upper arms are just beyond horizontal. Return and repeat.",Shoulders,3
Reverse Fly,Cable,Isolated,Pull,Stand facing twin pulley cables positioned close together and approximately shoulder height. Grasp stirrup cable attachment in each hand. Step back away from machine so cable is taut. Stand with feet staggered. Point elbows outward with arms straight or slightly bent.,"Pull stirrups out to sides, maintaining stiff elbow position throughout exercise. Return to original position and repeat.",Shoulders,2
Rear Delt Row,Cable,Compound,Pull,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With elbow width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.","Pull cable attachment toward upper chest, just below neck, with elbows up out to sides until elbows travel slightly behind back. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat.",Shoulders,3
Rear Delt Row:  Standing Rear Delt Row (stirrups),Cable,Compound,Pull,Stand facing twin pulley cables positioned shoulder height. Grasp stirrup cable attachment in each hand. Step back with one foot so arms and shoulders are positioned straight forward with cable taut. Point elbows outward.,"Pull stirrups out to sides, keeping elbows at shoulder height until elbows travel slightly behind back. Allow wrists to follow elbows. Keep upper arms horizontal, perpendicular to trunk. Return until arms are extended and shoulders are stretched forward. Repeat.",Shoulders,3
Rear Lateral Raise,Cable,Isolated,Pull,"Stand with cable columns to each side. Grasp left stirrup with right hand and right stirrup with left hand. Bend knees and bend over at hips, so torso is approximately horizontal with back straight. Point elbows outward with arms slightly bent.",Raise upper arms to sides until elbows are shoulder height. Maintain upper arms perpendicular to torso and slight bend in elbows as arms are raised to sides. Lower and repeat.,Shoulders,2
Rear Lateral Raise,Dumbbell,Isolated,Pull,"Grasp dumbbells to each side. Bend knees and bend over through hips with back flat, close to horizontal. Position elbows with slight bend and palms facing together.","Raise upper arms to sides until elbows are shoulder height. Maintain upper arms perpendicular to torso and fixed elbow position (10° to 30° angle) throughout exercise. Maintain height of elbows above wrists by raising ""pinkie finger"" side up. Lower and repeat.",Shoulders,2
Rear Delt Row,Dumbbell,Compound,Pull,Kneel over side of bench with arm and leg to side. Grasp dumbbell.,Pull dumbbell up out to side with upper arm perpendicular to trunk until upper arm is just beyond horizontal. Lower and repeat.,Shoulders,3
Seated Rear Lateral Raise,Dumbbell,Isolated,Pull,Sit on edge of bench with feet placed beyond knees. Bend over and rest torso on thighs. Grasp dumbbells with each hand under legs. Position elbows with slight bend with palms facing together behind ankles (as shown) or just to sides of ankles.,"Raise upper arms to sides until elbows are shoulder height. Maintain upper arms perpendicular to torso and fixed elbow position (10° to 30° angle) throughout exercise. Maintain elbows height above wrists by raising ""pinkie finger"" side up. Lower and repeat.",Shoulders,2
Lying Rear Lateral Raise,Lever (plate loaded),Isolated,Pull,Lie on machine with chest against padding. Position arms between padded lever arms with elbows below shoulders.,Pull arms up until elbows are beyond back. Return and repeat.,Shoulders,2
Seated Rear Delt Row,Lever (plate loaded),Compound,Pull,Place seat at low position. Sit on seat with chest against pad and grasp upper handles.,"Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.",Shoulders,3
Seated Rear Delt Row:  alternative machine,Lever (plate loaded),Compound,Pull,Place seat at low position. Sit on seat with chest against pad and grasp upper handles.,"Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.",Shoulders,3
Lying Rear Lateral Raise,Lever (selectorized),Isolated,Pull,Lie on machine with chest against padding. Position arms between padded lever arms with elbows below shoulders.,Pull arms up until elbows are beyond back. Lower and repeat.,Shoulders,2
Seated Rear Delt Row,Lever (selectorized),Compound,Pull,Place seat at low position. Sit on seat with chest against pad and grasp upper handles.,"Pull lever with elbows up out to sides until upper arms are just beyond parallel, keeping upper arm horizontal, perpendicular to torso. Return and repeat.",Shoulders,3
Seated Reverse Fly,Lever (selectorized),Isolated,Pull,Sit on machine with chest against pad. Grasp parallel handles with thumbs up at shoulder height. Slightly bend elbows and internally rotate shoulders so elbows are also at height of shoulders.,"Keeping elbows pointed high, pull handles apart and to rear until elbows are just behind back. Return and repeat.",Shoulders,2
Seated Reverse Fly:  pronated grip,Lever (selectorized),Isolated,Pull,Sit in machine with chest against pad. Grasp parallel handles from inside with thumbs down at shoulder height.,"Keeping elbows pointed high, pull handles apart and to rear until elbows are just behind back. Return and repeat.",Shoulders,2
Rear Delt Row,Smith,Compound,Pull,Stand near low smith bar. Bend knees and bend over bar with back straight. Grasp bar with wide   overhand grip. Disengage bar by rotating bar back.,"Keeping upper arm perpendicular to torso, pull bar up toward upper chest until upper arms are just beyond parallel to floor. Return and repeat.",Shoulders,3
Rear Delt Inverted Row (high bar),Body Weight,Compound,Pull,"Stand facing horizontal bar positioned lower to upper chest height. Step toward bar so chest makes contact. Grasp bar with wide overhand grip. Raise elbows up to shoulder height. Place feet forward on floor so body is reclined back with legs, hips and spine straight.","Lower body while keeping body straight, elbows high, and upper arms perpendicular to torso, until arms are extended straight. Pull shoulders toward bar while keeping elbows up high until upper arms are parallel to one another, or just beyond. Repeat.",Shoulders,4
Rear Delt Inverted Row (on hips),Body Weight,Compound,Pull,Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip. Turn elbows outward to sides.,"Keeping hips on floor, low back straight, and elbow pointed out to sides; pull torso up to bar. Return when upper arms are just beyond parallel to one another. Lower body downward until arms are extended straight. Return and repeat.",Shoulders,4
Rear Delt Row,Suspended,Compound,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles.Position body and legs straight at desired angle hanging from handles with arms straight. Internally rotate shoulders so elbows are positioned directly outwards.","Pull body up while keeping elbows pointed directly out to each side and body and legs straight. Pull until elbows are directly lateral to each side without allowing elbows to drop. Return until arms are extended straight and shoulders are stretched forward, maintaining high elbow position. Repeat.",Shoulders,3
Reverse Fly,Suspended,Compound,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle hanging from handles with arms straight. Internally rotate shoulders so elbows are positioned directly outwards with arms straight or slightly bent. Shoulder should be positioned approximately 90° relative to torso position.",Pull handles out to sides while keeping stiff elbow position and maintaining shoulder at 90° plane to torso throughout exercise. Raise up until upper arms are in-line to one another. Return to original position in same plane and repeat.,Shoulders,2
Front Lateral Raise,Cable,Isolated,Pull,Grasp dumbbell cable attachment. Stand facing side with resting arm toward low pulley. Grasp ballet bar if available for support. Internally rotate shoulders so elbows point out to sides.,"With elbow straight or slightly bent, raise upper arm away from low pulley to side, slightly to front (30°) until upper arm is shoulder height. Lower and repeat. Continue with opposite arm.",Shoulders,2
Front Lateral Raise,Dumbbell,Isolated,Pull,Grasp dumbbell and position in front of thigh with arm straight. Turn pinkie finger side outward.,"Raise arms to side, slightly to front until shoulder height or slightly higher. Lower and repeat. Continue with opposite arm.",Shoulders,2
Full Can Lateral Raise,Dumbbell,Isolated,Pull,Grasp dumbbells with each hand with palms facing forward.,Raise arms to side with thumb side up. Lower and repeat.,Shoulders,2
Lying Lateral Raise,Dumbbell,Isolated,Pull,Lie on side with legs separated for support. Grasp dumbbell in front of thigh.,Raise dumbbell from floor until arm is vertical. Maintain fixed elbow position (10° to 30° angle) throughout exercise. Lower and repeat.,Shoulders,2
Triceps Dip,Assisted,Compound,Push,"Mountshoulder width dip bar, arms straight with shoulders above hands. Step down onto assistance lever. Keep hips and knees straight.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Arms,4
Triceps Dip:  kneeling,Assisted,Compound,Push,"Mountshoulder width dip bar, arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.",Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Arms,3
Close Grip Bench Press,Barbell,Compound,Push,Lie on bench and grasp barbell from rack with shoulder width grip.,Lower weight to chest with elbows close to body. Push barbell back up until arms are straight. Repeat.,Arms,3
Lying Triceps Extension,Barbell,Isolated,Push,Lie on bench with narrow overhand grip on barbell. Position barbell over forehead with arms extended.,"Lower bar by bending elbows. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arms. As bar clears head, reposition elbows to their former position until arms are fully extended. Repeat.",Arms,3
Lying Triceps Extension:  Skull Crusher,Barbell,Isolated,Push,Lie on bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended.,Lower bar to forehead by bending elbows. Extend arms and repeat.,Arms,3
Triceps Extension,Barbell,Isolated,Push,Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip.,Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.,Arms,2
Bent-over Triceps Extension,Cable,Isolated,Push,Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip.,Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat.,Arms,2
Pushdown,Cable,Isolated,Push,Face high pulley and grasp cable attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,Arms,2
Pushdown:  One Arm,Cable,Isolated,Push,Grasp dumbbell cable attachment with underhand grip. Position elbow to side.,Extend arm down. Return until forearm is close to upper arm. Repeat. Continue with opposite arm.,Arms,2
Pushdown:  with back support,Cable,Isolated,Push,Place back against vertical back support. Grasp cable attachment from high pulley with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,Arms,2
Pushdown:  with V-bar attachment,Cable,Isolated,Push,Face high pulley and grasp V-bar attachment with narrow overhand grip. Position elbows to side.,Extend arms down. Return until forearm is close to upper arm. Repeat.,Arms,2
Triceps Dip,Cable,Compound,Push,"Step betweenshoulder width dip barswith dip belt around waist. Kneel as close to low pulley and attach cable to dip belt. Stand up and mount dip bar, arms straight with shoulders above hands. Keep hips straight.",Lower body by bending arms until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.,Arms,4
Triceps Extension,Cable,Isolated,Push,Stand or sit on bench or seat with back support just below shoulders. Position cable bar behind neck or shoulders with narrow overhand grip. Position elbows overhead.,Raise cable bar overhead by extending elbows until arms are positioned straight and vertical. Lower cable bar behind neck by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Repeat.,Arms,2
Triceps Extension:  with rope,Cable,Isolated,Push,"From low pulley cable, grasp ends of rope attachment just under enlarged ends. Raise one arm over head while turning body away from pulley. Face away from pulley with feet staggered. Position ends of ropes behind head or neck and elbows upward over head.",Raise ends of rope overhead by extending forearms until arms are straight. Lower rope attachment until forearms are against upper arms. Repeat.,Arms,2
Kickback,Dumbbell,Isolated,Push,Kneel over bench with arm supporting body. Grasp dumbbell. Position upper arm parallel to floor.,Extend arm until it is straight. Return and repeat. Continue with opposite arm.,Arms,2
Lying Triceps Extension,Dumbbell,Isolated,Push,Lie on bench and position dumbbells over head with arms extended.,Lower dumbbells by bending elbow until they are to sides of head. Extend arm. Repeat.,Arms,3
One Arm Triceps Extension (on bench),Dumbbell,Isolated,Push,Position dumbbell behind neck with elbow positioned upward.,Extend arm until straight while maintaining upper arm's vertical position throughout exercise. Return until dumbbell is behind neck or shoulder and repeat. Continue with opposite arm.,Arms,2
Triceps Extension,Dumbbell,Isolated,Push,Position one dumbbell over head with both hands under inner plate (heart shaped grip).,"With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.",Arms,2
Close Grip Bench Press,Lever (plate loaded),Compound,Push,Lie on bench with lever handles above sides of chest. Grasp handles with narrow overhand grip just above each side of chest.,"With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.",Arms,3
Triceps Extension,Lever (plate loaded),Isolated,Push,"Sit on seat. Place forearms on lever pad and back of upper arms, parallel on padding with elbows in line with lever's fulcrum.",Push lever down until arms are fully extended. Return and repeat.,Arms,2
Triceps Dip,Lever (plate loaded),Compound,Push,"Sit upright on seat. If possible, place handles in narrow position. Grasp handles.",Push levers down with elbows pointing back. Allow lever bar to raise until shoulders are slightly stretched. Repeat.,Arms,4
